2023-04-06 22:12:25,391 INFO    MainThread:9272 [wandb_setup.py:_flush():76] Configure stats pid to 9272
2023-04-06 22:12:25,392 INFO    MainThread:9272 [wandb_setup.py:_flush():76] Loading settings from C:\Users\cosmi\.config\wandb\settings
2023-04-06 22:12:25,392 INFO    MainThread:9272 [wandb_setup.py:_flush():76] Loading settings from C:\MyDocuments\Dizertatie\segments\wandb_visualization\no_overlap\wandb\settings
2023-04-06 22:12:25,392 INFO    MainThread:9272 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-06 22:12:25,392 INFO    MainThread:9272 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'test_mode_visualization.py', 'program': 'C:\\MyDocuments\\Dizertatie\\segments\\wandb_visualization\\no_overlap\\test_mode_visualization.py'}
2023-04-06 22:12:25,392 INFO    MainThread:9272 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-04-06 22:12:25,392 INFO    MainThread:9272 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-04-06 22:12:25,392 INFO    MainThread:9272 [wandb_init.py:_log_setup():507] Logging user logs to C:\MyDocuments\Dizertatie\segments\wandb_visualization\no_overlap\wandb\run-20230406_221225-i70rhs6o\logs\debug.log
2023-04-06 22:12:25,392 INFO    MainThread:9272 [wandb_init.py:_log_setup():508] Logging internal logs to C:\MyDocuments\Dizertatie\segments\wandb_visualization\no_overlap\wandb\run-20230406_221225-i70rhs6o\logs\debug-internal.log
2023-04-06 22:12:25,392 INFO    MainThread:9272 [wandb_init.py:init():547] calling init triggers
2023-04-06 22:12:25,392 INFO    MainThread:9272 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-04-06 22:12:25,392 INFO    MainThread:9272 [wandb_init.py:init():595] starting backend
2023-04-06 22:12:25,392 INFO    MainThread:9272 [wandb_init.py:init():599] setting up manager
2023-04-06 22:12:25,397 INFO    MainThread:9272 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-04-06 22:12:25,403 INFO    MainThread:9272 [wandb_init.py:init():605] backend started and connected
2023-04-06 22:12:25,408 INFO    MainThread:9272 [wandb_init.py:init():695] updated telemetry
2023-04-06 22:12:25,409 INFO    MainThread:9272 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-06 22:12:25,855 INFO    MainThread:9272 [wandb_run.py:_on_init():2176] communicating current version
2023-04-06 22:12:26,043 INFO    MainThread:9272 [wandb_run.py:_on_init():2185] got version response 
2023-04-06 22:12:26,043 INFO    MainThread:9272 [wandb_init.py:init():782] starting run threads in backend
2023-04-06 22:12:27,236 INFO    MainThread:9272 [wandb_run.py:_console_start():2157] atexit reg
2023-04-06 22:12:27,236 INFO    MainThread:9272 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-06 22:12:27,237 INFO    MainThread:9272 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-06 22:12:27,237 INFO    MainThread:9272 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-06 22:12:27,237 INFO    MainThread:9272 [wandb_init.py:init():824] run started, returning control to user process
2023-04-06 22:12:37,177 INFO    MainThread:9272 [wandb_run.py:_finish():1892] finishing run cosminaionut/Defect-Detection/i70rhs6o
2023-04-06 22:12:37,177 INFO    MainThread:9272 [wandb_run.py:_atexit_cleanup():2126] got exitcode: 0
2023-04-06 22:12:37,177 INFO    MainThread:9272 [wandb_run.py:_restore():2109] restore
2023-04-06 22:12:37,177 INFO    MainThread:9272 [wandb_run.py:_restore():2115] restore done
2023-04-06 22:12:44,314 INFO    MainThread:9272 [wandb_run.py:_footer_history_summary_info():3476] rendering history
2023-04-06 22:12:44,314 INFO    MainThread:9272 [wandb_run.py:_footer_history_summary_info():3508] rendering summary
2023-04-06 22:12:44,319 INFO    MainThread:9272 [wandb_run.py:_footer_sync_info():3434] logging synced files
